"","S_pvt_north_temp","S_pvt_spain_temp","S_shared_temp","S_prop_pvt_north_temp","S_prop_pvt_spain_temp","S_count_higher_spain_temp","S_prop_higer_spain_temp"
"378",823,1067,166,0.832153690596562,0.86536901865369,1,1
"379",652,1093,140,0.823232323232323,0.886455798864558,1,1
"380",759,1065,168,0.818770226537217,0.86374695863747,1,1
"381",652,1071,162,0.800982800982801,0.868613138686131,1,1
"382",794,1073,160,0.832285115303983,0.870235198702352,1,1
"383",816,1077,156,0.839506172839506,0.873479318734793,1,1
"384",792,1075,158,0.833684210526316,0.871857258718573,1,1
"385",751,1079,154,0.829834254143646,0.875101378751014,1,1
"386",855,1051,182,0.824493731918997,0.852392538523925,1,1
"387",846,1064,169,0.833497536945813,0.862935928629359,1,1
"388",871,1065,168,0.838306063522618,0.86374695863747,1,1
"389",698,1097,136,0.836930455635492,0.889699918896999,1,1
"390",774,1073,160,0.828693790149893,0.870235198702352,1,1
"391",915,1073,160,0.851162790697674,0.870235198702352,1,1
"392",761,1066,167,0.820043103448276,0.86455798864558,1,1
"393",843,1072,161,0.839641434262948,0.869424168694242,1,1
"394",861,1047,186,0.822349570200573,0.849148418491484,1,1
"395",814,1073,160,0.835728952772074,0.870235198702352,1,1
"396",786,1073,160,0.830866807610994,0.870235198702352,1,1
"397",733,1064,169,0.812638580931264,0.862935928629359,1,1
"398",716,1071,162,0.815489749430524,0.868613138686131,1,1
"399",758,1089,144,0.840354767184035,0.883211678832117,1,1
"400",894,1049,184,0.829313543599258,0.850770478507705,1,1
"401",808,1058,175,0.821973550356053,0.858069748580698,1,1
"402",790,1065,168,0.824634655532359,0.86374695863747,1,1
"403",875,1078,155,0.849514563106796,0.874290348742903,1,1
"404",781,1065,168,0.822971548998946,0.86374695863747,1,1
"405",717,1074,159,0.818493150684932,0.871046228710462,1,1
"406",738,1073,160,0.821826280623608,0.870235198702352,1,1
"407",748,1070,163,0.821075740944018,0.867802108678021,1,1
"408",820,1066,167,0.83080040526849,0.86455798864558,1,1
"409",892,1066,167,0.842304060434372,0.86455798864558,1,1
"410",776,1055,178,0.813417190775681,0.855636658556367,1,1
"411",753,1066,167,0.818478260869565,0.86455798864558,1,1
"412",946,1058,175,0.843889384478145,0.858069748580698,1,1
"413",864,1075,158,0.845401174168297,0.871857258718573,1,1
"414",763,1091,142,0.843093922651934,0.884833738848337,1,1
"415",729,1069,165,0.815436241610738,0.866288492706645,1,1
"416",816,1057,176,0.82258064516129,0.857258718572587,1,1
"417",847,1055,178,0.826341463414634,0.855636658556367,1,1
"418",715,1072,161,0.8162100456621,0.869424168694242,1,1
"419",800,1063,170,0.824742268041237,0.862124898621249,1,1
"420",683,1064,169,0.801643192488263,0.862935928629359,1,1
"421",862,1071,162,0.841796875,0.868613138686131,1,1
"422",854,1056,177,0.828322017458778,0.856447688564477,1,1
"423",763,1061,172,0.816042780748663,0.860502838605028,1,1
"424",764,1082,151,0.834972677595628,0.877534468775345,1,1
"425",787,1061,172,0.820646506777894,0.860502838605028,1,1
"426",790,1065,168,0.824634655532359,0.86374695863747,1,1
"427",838,1069,164,0.836327345309381,0.866991078669911,1,1
"428",840,1063,170,0.831683168316832,0.862124898621249,1,1
"429",630,1093,140,0.818181818181818,0.886455798864558,1,1
"430",676,1091,142,0.82640586797066,0.884833738848337,1,1
"431",907,1052,181,0.833639705882353,0.853203568532036,1,1
"432",786,1086,147,0.842443729903537,0.880778588807786,1,1
"433",691,1071,162,0.810082063305979,0.868613138686131,1,1
"434",824,1072,161,0.836548223350254,0.869424168694242,1,1
"435",787,1063,170,0.822361546499478,0.862124898621249,1,1
"436",712,1072,161,0.815578465063001,0.869424168694242,1,1
"437",964,1051,182,0.841186736474695,0.852392538523925,1,1
"438",786,1065,168,0.823899371069182,0.86374695863747,1,1
"439",657,1078,155,0.809113300492611,0.874290348742903,1,1
"440",965,1062,171,0.849471830985915,0.861313868613139,1,1
"441",734,1059,174,0.808370044052863,0.858880778588808,1,1
